text,intent,tags
các chuyến bay jetstar từ côn_đảo đến đà_nẵng vào buổi sáng,flight,O O O B-airline_name O B-fromloc.city_name O B-toloc.city_name O B-depart_time.period_of_day I-depart_time.period_of_day
có những loại phương_tiện giao_thông đường_bộ nào ở sân_bay thành_phố đà_nẵng,ground_service,O O O O O O O O B-toloc.airport_name I-toloc.airport_name I-toloc.airport_name
trong hai ngày tới tôi muốn bay từ pleiku đến cà_mau hoặc đến huế,flight,O O O B-depart_date.date_relative O O O O B-fromloc.city_name O B-toloc.city_name B-or O B-toloc.city_name
hãng hàng_không vietnam airlines có chuyến bay từ huế đến thành_phố hồ_chí_minh không,flight,B-airline_name I-airline_name I-airline_name I-airline_name O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O
đà_nẵng đến cà_mau,flight,B-fromloc.city_name O B-toloc.city_name
vna có bao_nhiêu chuyến bay hạng thương_gia,quantity,B-airline_code O O O O B-class_type I-class_type
cho tôi biết các chuyến bay hạng nhất từ đà_lạt đến đà_nẵng,flight,O O O O O O B-class_type I-class_type O B-fromloc.city_name O B-toloc.city_name
tôi muốn tìm giá vé một_chiều rẻ nhất từ hà_nội đến thành_phố vinh,airfare,O O O O O B-round_trip B-cost_relative I-cost_relative O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
có bao_nhiêu hạng ghế,quantity,O O O O
các chuyến bay từ cam_ranh đến cà_mau vào thứ tư ngày mười chín,flight,O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name I-depart_date.day_name B-depart_date.day_number I-depart_date.day_number I-depart_date.day_number
chuyến bay nào rời buôn_ma_thuột vào ngày 5 tháng 7 sau 7 giờ tối và đến cần_thơ,flight,O O O O B-fromloc.city_name O B-depart_date.day_number I-depart_date.day_number B-depart_date.month_name I-depart_date.month_name B-depart_time.time_relative B-depart_time.time I-depart_time.time I-depart_time.time O O B-toloc.city_name
liệt_kê giúp tôi tất_cả các chuyến bay đến và đi từ sân_bay quốc_tế nội bài,flight,O O O O O O O O O O O B-fromloc.airport_name I-fromloc.airport_name I-fromloc.airport_name I-fromloc.airport_name
london nằm trong múi_giờ nào,city,B-city_name O O O O
cho tôi biết các loại phương_tiện giao_thông đường_bộ có ở hà_nội và ở đà_nẵng,ground_service,O O O O O O O O O O B-city_name O O B-city_name
tôi muốn tìm chuyến bay đầu_tiên từ đà_nẵng đến hà_nội có phục_vụ bữa ăn,flight,O O O O O B-flight_mod O B-fromloc.city_name O B-toloc.city_name O O B-meal I-meal
từ đồng_hới đến điện_biên_phủ,flight,O B-fromloc.city_name O B-toloc.city_name
bạn có_thể cho tôi biết các chuyến bay từ đà_lạt đến đà_nẵng với giá vé phổ_thông được không,flight,O O O O O O O O O B-fromloc.city_name O B-toloc.city_name O O O B-economy O O
những chuyến bay nào khởi_hành từ hải_phòng,flight,O O O O O O B-fromloc.city_name
các chuyến bay nào từ buôn_ma_thuột đến huế,flight,O O O O O B-fromloc.city_name O B-toloc.city_name
hiển_thị các chuyến bay rời phú_quốc đến pleiku của vietjet mà khởi_hành sau giữa trưa,flight,O O O O O B-fromloc.city_name O B-toloc.city_name O B-airline_name O O B-depart_time.time_relative B-depart_time.time I-depart_time.time
vui_lòng cung_cấp cho tôi danh_sách tất_cả các chuyến bay giữa đà_lạt và đà_nẵng và chi_phí tương_ứng,airfare#flight,O O O O O O O O O O B-fromloc.city_name O B-toloc.city_name O O O
mã giá vé y có nghĩa là gì,abbreviation,O O O B-fare_basis_code O O O O
giao_thông đường_bộ ở hải_phòng,ground_service,O O O B-city_name
được rồi vậy bạn có_thể cho tôi biết chuyến bay nào rời thanh_hoá đến thành_phố hồ_chí_minh của vietnam airlines,flight,O O O O O O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-airline_name I-airline_name
cho tôi biết tất_cả các chuyến bay từ huế đến thành_phố hồ_chí_minh vào thứ tư tới khởi_hành sau giữa trưa,flight,O O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name I-depart_date.day_name B-depart_date.date_relative O B-depart_time.time_relative B-depart_time.time I-depart_time.time
có chuyến bay nào bay từ prague đến thành_phố hồ_chí_minh mà có dừng lại ở amsterdam không,flight,O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O O B-stoploc.city_name O
hiển_thị các chuyến khởi_hành và điểm đến tại hạ_long của hãng hàng_không jetstar pacific,flight,O O O O O O O O B-city_name O B-airline_name I-airline_name I-airline_name I-airline_name
tìm cho tôi chuyến bay sớm nhất từ hà_nội đến cam_ranh và chuyến bay trở về muộn nhất từ cam_ranh đến hà_nội trong cùng một ngày,flight,O O O O O B-flight_mod I-flight_mod O B-fromloc.city_name O B-toloc.city_name O O O O O B-flight_mod I-flight_mod O B-fromloc.city_name O B-toloc.city_name O B-depart_date.date_relative O O
tôi muốn bay từ cà_mau đến tuy_hoà vào tối thứ tư hoặc sáng thứ năm,flight,O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_time.period_of_day B-depart_date.day_name I-depart_date.day_name B-or B-depart_time.period_of_day B-depart_date.day_name I-depart_date.day_name
tôi muốn một chuyến bay xuất_phát từ hà_nội có đi qua cả hongkong và los angeles,flight,O O O O O O O B-fromloc.city_name O O O O B-toloc.city_name O B-toloc.city_name I-toloc.city_name
cho tôi biết các chuyến bay từ đà_lạt đến hạ_long,flight,O O O O O O O B-fromloc.city_name O B-toloc.city_name
có những chuyến bay nào còn chỗ khởi_hành từ huế đến thành_phố hồ_chí_minh,flight,O O O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
chi_phí của một chuyến bay từ hà_nội đến huế là bao_nhiêu,airfare,O O O O O O B-fromloc.city_name O B-toloc.city_name O O
cho tôi chuyến bay sớm nhất từ cà_mau đến buôn_ma_thuột có phục_vụ đồ_ăn nhẹ,flight,O O O O B-flight_mod I-flight_mod O B-fromloc.city_name O B-toloc.city_name O O B-meal_description I-meal_description
bạn có_thể cho tôi biết giá vé khứ_hồi từ đà_nẵng đến hạ_long được không,airfare,O O O O O O O B-round_trip O B-fromloc.city_name O B-toloc.city_name O O
có chuyến bay nào rời hà_nội lúc 6 giờ 45 sáng để đến hongkong không,flight,O O O O O B-fromloc.city_name O B-depart_time.time I-depart_time.time I-depart_time.time I-depart_time.time O O B-toloc.city_name O
tất_cả các chuyến bay đến sân_bay của thành_phố hạ_long,flight,O O O O O O O B-toloc.city_name I-toloc.city_name
cho tôi biết các chuyến bay từ hạ_long đến quy nhơn vào thứ_sáu,flight,O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name
mã giá vé qx có nghĩa là gì,abbreviation,O O O B-fare_basis_code O O O O
tôi muốn biết thông_tin về chuyến bay của vna từ hà_nội đến phú_yên,flight,O O O O O O O O B-airline_code O B-fromloc.city_name O B-toloc.city_name
hãng hàng_không nào có chuyến bay từ hà_nội đến washington dc và có điểm dừng ở một_số thành_phố khác,airline,O O O O O O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code O O O O O O O O
giao_thông đường_bộ ở cần_thơ,ground_service,O O O B-city_name
liệt_kê tất_cả các chuyến bay vào buổi chiều của vietnam airlines từ thành_phố hồ_chí_minh đến huế,flight,O O O O O O B-depart_time.period_of_day I-depart_time.period_of_day O B-airline_name I-airline_name O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name
cho tôi biết tất_cả các chuyến bay từ thành_phố hồ_chí_minh đến hà_nội vào một ngày thứ hai,flight,O O O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O O B-depart_date.day_name I-depart_date.day_name
chuyến bay muộn nhất rời hà_nội đến huế,flight,O O B-flight_mod I-flight_mod O B-fromloc.city_name O B-toloc.city_name
"được rồi , vui_lòng cho tôi biết loại phi_cơ được sử_dụng trên chuyến bay từ chu lai đến sài_gòn",aircraft,O O O O O O O O O O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name
vui_lòng cho tôi biết các chuyến bay từ cà_mau đến đà_nẵng vào ngày 28,flight,O O O O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_number I-depart_date.day_number
những hãng hàng_không nào có chuyến bay bay từ sài_gòn đến đà_nẵng và từ đà_nẵng đến hà_nội,airline,O O O O O O O O O B-fromloc.city_name O B-toloc.city_name O O B-fromloc.city_name O B-toloc.city_name
tôi muốn thực_hiện một chuyến bay bắt_đầu từ boston và hạ_cánh ở dallas fort worth nhưng tôi muốn có một điểm dừng ở philadelphia,flight,O O O O O O O O B-fromloc.city_name O O O B-toloc.city_name I-toloc.city_name I-toloc.city_name O O O O O O O O B-stoploc.city_name
cho tôi chuyến bay sớm nhất vào ngày_mai của vietnam airlines từ huế đến cà_mau,flight,O O O O B-flight_mod I-flight_mod O B-depart_date.today_relative O B-airline_name I-airline_name O B-fromloc.city_name O B-toloc.city_name
các chuyến bay của hãng hàng_không jetstar từ huế đến cà_mau,flight,O O O O B-airline_name I-airline_name I-airline_name O B-fromloc.city_name O B-toloc.city_name
chuyến bay nào còn trống vào giữa trưa từ hà_nội đến chu lai chuyến bay nào còn chỗ vào khoảng giờ trưa từ hà_nội đến chu lai,flight,O O O O O O B-depart_time.time I-depart_time.time O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O O O B-depart_time.time_relative B-depart_time.time I-depart_time.time O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
tôi cần một chuyến bay trở về khởi_hành từ hà_nội đến côn_đảo,flight,O O O O O O O O O B-fromloc.city_name O B-toloc.city_name
các chuyến bay của bamboo airways với một điểm dừng tại huế,flight,O O O O B-airline_name I-airline_name O O O O O B-stoploc.city_name
giá vé hạng nhất từ đà_nẵng đến đà_lạt là bao_nhiêu,airfare,O O B-class_type I-class_type O B-fromloc.city_name O B-toloc.city_name O O
bạn có_thể vui_lòng cho tôi biết các hãng hàng_không bay có các chuyến bay từ huế đến hải_phòng được không,airline,O O O O O O O O O O O O O O O B-fromloc.city_name O B-toloc.city_name O O
chuyến bay sớm nhất từ điện_biên_phủ đến quy nhơn vào ngày ba_mươi tháng sáu,flight,O O B-flight_mod I-flight_mod O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_number I-depart_date.day_number B-depart_date.month_name I-depart_date.month_name
cho tôi biết các chuyến bay không dừng từ sài_gòn đến dubai,flight,O O O O O O B-flight_stop I-flight_stop O B-fromloc.city_name O B-toloc.city_name
cho tôi xem giá vé hạng phổ_thông từ đà_lạt đến đà_nẵng,airfare,O O O O O B-economy I-economy O B-fromloc.city_name O B-toloc.city_name
tôi muốn một chuyến bay của hãng hàng_không jetstar vào ngày 20 tháng 8 từ hà_nội đến buôn_ma_thuột,flight,O O O O O O B-airline_name I-airline_name I-airline_name O B-depart_date.day_number I-depart_date.day_number B-depart_date.month_name I-depart_date.month_name O B-fromloc.city_name O B-toloc.city_name
bạn có chuyến bay không nghỉ nào vào thứ tư từ huế đến washington dc không,flight,O O O O B-flight_stop I-flight_stop O O B-depart_date.day_name I-depart_date.day_name O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code O
dli là gì,abbreviation,B-airport_code O O
tôi muốn bay từ hà_nội đến thành_phố hồ_chí_minh,flight,O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
chuyến bay nào rời đà_lạt đi hạ_long vào ngày 27 tháng 8 vào buổi tối,flight,O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_number I-depart_date.day_number B-depart_date.month_name I-depart_date.month_name O B-depart_time.period_of_day I-depart_time.period_of_day
các chuyến bay sáng thứ tư giữa đà_nẵng và cần_thơ,flight,O O O B-depart_time.period_of_day B-depart_date.day_name I-depart_date.day_name O B-fromloc.city_name O B-toloc.city_name
cho tôi biết các chuyến bay từ đà_lạt đến côn_đảo,flight,O O O O O O O B-fromloc.city_name O B-toloc.city_name
có những chuyến bay nào của jetstar bay đến côn_đảo sau 11 giờ tối,flight,O O O O O O B-airline_name O O B-toloc.city_name B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time I-arrive_time.time
giá vé rẻ nhất mà jetstar có cho một chuyến bay giữa hà_nội và thành_phố hồ_chí_minh là bao_nhiêu,airfare,O O B-cost_relative I-cost_relative O B-airline_name O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O
tôi muốn đi từ hà_nội đến thành_phố hồ_chí_minh,flight,O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
giá vé máy_bay khứ_hồi từ buôn_ma_thuột đến thành_phố vinh dưới 3 triệu rưỡi,airfare,O O O B-round_trip O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name B-cost_relative B-fare_amount I-fare_amount I-fare_amount
có hãng hàng_không nào có chuyến bay phản_lực giữa buôn_ma_thuột và đà_nẵng không,airline,O O O O O O O O O B-fromloc.city_name O B-toloc.city_name O
dad có nghĩa là gì,abbreviation,B-airport_code O O O O
cho tôi xem các chuyến bay từ tuy_hoà phú_yên đến sân_bay quốc_tế tân_sơn nhất vào thứ_bảy tới,flight,O O O O O O O B-fromloc.city_name B-fromloc.state_name O B-toloc.airport_name I-toloc.airport_name I-toloc.airport_name I-toloc.airport_name O B-depart_date.day_name B-depart_date.date_relative
tôi muốn bay từ đà_lạt đến thành_phố vinh,flight,O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
cho tôi biết các chuyến bay giữa thành_phố hà_nội và cam_ranh,flight,O O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name
mất bao_lâu để đi từ sân_bay đà_nẵng đến trung_tâm thành_phố đà_nẵng,distance,O O O O O B-fromloc.airport_name I-fromloc.airport_name O O B-toloc.city_name I-toloc.city_name
cho tôi xem tất_cả giá vé hạng nhất từ đà_lạt đến đà_nẵng,airfare,O O O O O O B-class_type I-class_type O B-fromloc.city_name O B-toloc.city_name
có chuyến bay nào giữa thành_phố hồ_chí_minh và thành_phố newyork có điểm dừng ở tokyo không,flight,O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O B-stoploc.city_name O
cho tôi xem thông_tin giao_thông đường_bộ của thành_phố hồ_chí_minh,ground_service,O O O O O O O B-city_name I-city_name
cần một chuyến bay giá rẻ từ đà_nẵng đến thành_phố hồ_chí_minh,flight,O O O O B-flight_mod I-flight_mod O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
tìm chuyến bay sớm nhất từ hà_nội đến cần_thơ có phục_vụ bữa sáng,flight,O O O B-flight_mod I-flight_mod O B-fromloc.city_name O B-toloc.city_name O O B-meal_description I-meal_description
tôi muốn bay từ los angeles đến san francisco rồi đến thành_phố hồ_chí_minh,flight,O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-toloc.city_name I-toloc.city_name
cho tôi biết tất_cả các chuyến bay trực_tiếp từ hạ_long đến kyoto,flight,O O O O O O O B-connect O B-fromloc.city_name O B-toloc.city_name
chuyến bay muộn nhất từ thanh_hoá đến cà_mau,flight,O O B-flight_mod I-flight_mod O B-fromloc.city_name O B-toloc.city_name
các chuyến bay từ thành_phố hà_nội đến cam_ranh đến vào chủ_nhật,flight,O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O B-arrive_date.day_name
tôi muốn bay một chuyến bay của united airlines từ washington dc đến denver colorado,flight,O O O O O O O B-airline_name I-airline_name O B-fromloc.city_name B-fromloc.state_code O B-toloc.city_name B-toloc.state_name
được rồi tôi cần xem các chuyến bay hạng phổ_thông của vietnam airlines giữa đà_lạt và đà_nẵng,flight,O O O O O O O O B-economy I-economy O B-airline_name I-airline_name O B-fromloc.city_name O B-toloc.city_name
vui_lòng cho tôi biết các chuyến bay từ buôn_ma_thuột đến hạ_long vào sáng thứ tư có phục_vụ bữa sáng,flight,O O O O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_time.period_of_day B-depart_date.day_name I-depart_date.day_name O O B-meal_description I-meal_description
tôi cần thông_tin về các chuyến bay rời đà_nẵng và đến hạ_long,flight,O O O O O O O O B-fromloc.city_name O O B-toloc.city_name
cho tôi xem tất_cả các chuyến bay từ sài_gòn đến phú_quốc và sẽ đến phú_quốc trước 9 giờ sáng mai,flight,O O O O O O O O B-fromloc.city_name O B-toloc.city_name O O O B-toloc.city_name B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time I-arrive_time.time B-arrive_date.today_relative
cho tôi xem giá vé từ thanh_hoá đến thành_phố hồ_chí_minh,airfare,O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
vui_lòng cung_cấp cho tôi các chuyến bay còn chỗ từ đà_nẵng đến điện_biên_phủ,flight,O O O O O O O O O O B-fromloc.city_name O B-toloc.city_name
các chuyến bay vào ngày 1 tháng 12 năm 2022 từ hà_nội đến thành_phố hồ_chí_minh,flight,O O O O B-depart_date.day_number I-depart_date.day_number B-depart_date.month_name I-depart_date.month_name B-depart_date.year I-depart_date.year O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
các chuyến bay từ huế đến đà_lạt trong khoảng từ 10 giờ sáng đến 2 giờ chiều,flight,O O O O B-fromloc.city_name O B-toloc.city_name O O O B-depart_time.start_time I-depart_time.start_time I-depart_time.start_time O B-depart_time.end_time I-depart_time.end_time I-depart_time.end_time
có những loại phương_tiện giao_thông đường_bộ nào ở hạ_long,ground_service,O O O O O O O O B-city_name
liệt_kê các chuyến bay không dừng từ baltimore washington đến busan và hạ_cánh trong khoảng từ 4h45 đến 5h15 chiều,flight,O O O O B-flight_stop I-flight_stop O B-fromloc.city_name B-fromloc.city_name O B-toloc.city_name O O O O O B-arrive_time.start_time O B-arrive_time.end_time I-arrive_time.end_time
cho tôi xem các chuyến bay từ đà_nẵng đến thành_phố hồ_chí_minh trong khoảng từ 6 giờ chiều đến 8 giờ tối ngày thứ_sáu,flight,O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O B-depart_time.start_time I-depart_time.start_time I-depart_time.start_time O B-depart_time.end_time I-depart_time.end_time I-depart_time.end_time O B-depart_date.day_name
tôi muốn bay từ huế đến thành_phố hồ_chí_minh,flight,O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
giá vé hạng hai chỉ vào các ngày trong tuần từ huế đến hà_nội,airfare,O O B-class_type I-class_type B-flight_mod I-flight_mod I-flight_mod I-flight_mod I-flight_mod I-flight_mod O B-fromloc.city_name O B-toloc.city_name
giá vé hạng hai cho các chuyến bay từ quy nhơn đến phuket khởi_hành sau 3 giờ chiều là bao_nhiêu,airfare,O O B-class_type I-class_type O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-depart_time.time_relative B-depart_time.time I-depart_time.time I-depart_time.time O O
từ thành_phố điện_biên_phủ đến huế,flight,O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name
tôi muốn có một chuyến bay không có điểm dừng từ thành_phố vinh đến buôn_ma_thuột,flight,O O O O O O B-flight_stop I-flight_stop I-flight_stop I-flight_stop O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name
tôi có những lựa_chọn nào cho các chuyến bay khởi_hành vào đầu buổi chiều từ côn_đảo đến hạ_long,flight,O O O O O O O O O O O B-depart_time.period_mod B-depart_time.period_of_day I-depart_time.period_of_day O B-fromloc.city_name O B-toloc.city_name
chuyến bay nào rẻ nhất bay từ sài_gòn đến hạ_long trước 8 giờ,flight,O O O B-cost_relative I-cost_relative O O B-fromloc.city_name O B-toloc.city_name B-depart_time.time_relative B-depart_time.time I-depart_time.time
liệt_kê các chuyến bay khứ_hồi hàng ngày có_thể có giữa hà_nội và cần_thơ,flight,O O O O B-round_trip B-flight_days I-flight_days O O O B-fromloc.city_name O B-toloc.city_name
vui_lòng cho tôi giá vé khứ_hồi từ đà_nẵng đến thanh_hoá,airfare,O O O O O B-round_trip O B-fromloc.city_name O B-toloc.city_name
tìm một chuyến bay từ hà_nội đến los angeles dừng ở san francisco,flight,O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-stoploc.city_name I-stoploc.city_name
xin vui_lòng liệt_kê các chuyến bay từ phú_quốc đến đồng_hới vào đêm thứ_sáu mà có phục_vụ bữa ăn,flight,O O O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_time.period_of_day B-depart_date.day_name O O O B-meal I-meal
giá vé máy_bay giá rẻ nhất hiện có cho chuyến bay từ đà_lạt đến đà_nẵng đến vào ngày 4 tháng 7,airfare,O O O O B-cost_relative I-cost_relative O O O O O O B-fromloc.city_name O B-toloc.city_name O O B-arrive_date.day_number I-arrive_date.day_number B-arrive_date.month_name I-arrive_date.month_name
bạn có_thể cho tôi biết các chuyến bay từ đà_nẵng đến đà_lạt được không,flight,O O O O O O O O O B-fromloc.city_name O B-toloc.city_name O O
tôi cần thông_tin của các chuyến bay vào thứ_bảy từ pleiku đến cà_mau,flight,O O O O O O O O B-depart_date.day_name O B-fromloc.city_name O B-toloc.city_name
cho tôi biết các chuyến bay từ đà_nẵng đến sài_gòn và sau đó đến paris,flight,O O O O O O O B-fromloc.city_name O B-toloc.city_name O O O O B-toloc.city_name
chuyến bay sớm nhất mà bạn có để rời hà_nội đi đến thành_phố vinh,flight,O O B-flight_mod I-flight_mod O O O O O B-fromloc.city_name O O B-toloc.city_name I-toloc.city_name
chuyến bay nào rẻ nhất từ huế đến hạ_long,flight,O O O B-cost_relative I-cost_relative O B-fromloc.city_name O B-toloc.city_name
có các loại phương_tiện giao_thông đường_bộ nào sau khi tôi hạ_cánh xuống đà_lạt,ground_service,O O O O O O O O O O O O B-city_name
cho tôi biết các chuyến bay đi từ cần_thơ đến hà_nội vào các buổi sáng thứ năm,flight,O O O O O O O O B-fromloc.city_name O B-toloc.city_name O O B-depart_time.period_of_day I-depart_time.period_of_day B-depart_date.day_name I-depart_date.day_name
tìm một chuyến bay của jetstar từ thành_phố vinh đến thành_phố hồ_chí_minh,flight,O O O O O B-airline_name O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name
bạn có chuyến bay nào từ toronto đến hà_nội và dừng chân ở vancouver không,flight,O O O O O O B-fromloc.city_name O B-toloc.city_name O O O O B-stoploc.city_name O
ff có nghĩa là gì,abbreviation,B-airline_code O O O O
hiển_thị tất_cả các chuyến bay không ngừng từ hà_nội đến thành_phố hồ_chí_minh,flight,O O O O O B-flight_stop I-flight_stop O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
loại phương_tiện giao_thông đường_bộ nào có_thể sử_dụng ở huế,ground_service,O O O O O O O O B-city_name
tôi muốn đi từ hạ_long đến buôn_ma_thuột,flight,O O O O B-fromloc.city_name O B-toloc.city_name
sắp_xếp một chuyến bay khứ_hồi từ hà_nội đến buôn_ma_thuột,flight,O O O O B-round_trip O B-fromloc.city_name O B-toloc.city_name
xin liệt_kê các chuyến bay trong ngày thứ ba từ hạ_long đến điện_biên_phủ,flight,O O O O O O O B-depart_date.day_name I-depart_date.day_name O B-fromloc.city_name O B-toloc.city_name
cho tôi biết tất_cả các chuyến bay từ hạ_long đến thành_phố hồ_chí_minh,flight,O O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
giá vé rẻ nhất tôi có_thể đặt được cho một chuyến bay từ đà_lạt đến huế là bao_nhiêu,airfare,O O B-cost_relative I-cost_relative O O O O O O O O O B-fromloc.city_name O B-toloc.city_name O O
chuyến bay muộn nhất từ rạch_giá đến huế,flight,O O B-flight_mod I-flight_mod O B-fromloc.city_name O B-toloc.city_name
côn_đảo đến thành_phố vinh của jetstar,flight,B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-airline_name
bạn có_thể cho tôi biết tất_cả các chuyến bay từ cần_thơ đến hải_phòng được không,flight,O O O O O O O O O O B-fromloc.city_name O B-toloc.city_name O O
những thành_phố nào có các chuyến bay của hãng hàng_không jetstar pacific,city,O O O O O O O O B-airline_name I-airline_name I-airline_name I-airline_name
thành_phố hồ_chí_minh đến thành_phố vinh,flight,B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name
các chuyến bay từ pleiku đến đồng_hới,flight,O O O O B-fromloc.city_name O B-toloc.city_name
có những chuyến bay nào còn chỗ khởi_hành vào buổi chiều thứ_sáu từ hà_nội đến rome lazio,flight,O O O O O O O O O B-depart_time.period_of_day I-depart_time.period_of_day B-depart_date.day_name O B-fromloc.city_name O B-toloc.city_name B-toloc.state_name
cho tôi biết thông_tin về các chuyến bay từ huế đến rạch_giá rời khỏi huế trong khoảng từ 5 rưỡi đến 7 giờ tối,flight,O O O O O O O O O B-fromloc.city_name O B-toloc.city_name O O B-fromloc.city_name O O O B-depart_time.start_time I-depart_time.start_time O B-depart_time.end_time I-depart_time.end_time I-depart_time.end_time
có những loại phương_tiện giao_thông đường_bộ nào ở đà_lạt,ground_service,O O O O O O O O B-city_name
